Year,Minority,Major,Programming,Programming.Affinity,Statistics,Letter.Grade,Requirement,Birthday,Extrovert,People.Texted,Hours.of.Sleep,Handedness,Sleep.Position,Pets,Piercings,Languages
Third Year,I don't know,Data Science,True,5,True,Yes,Yes,6/23,2,0,8,Right-handed,On your right side,False,0,2
First Year,No,Applied Math,False,3,False,Yes,Yes,5/3,4,5,7,Right-handed,On your left side,False,0,5
First Year,No,Data Science,True,3,True,Yes,Yes,11/16,6,6,7,Right-handed,On your right side,False,0,5
First Year,No,Data Science,False,1,True,Yes,Yes,4/14,3,15,6,Right-handed,On your right side,True,0,2
Second Year,No,"Data Science, Linguistics",True,3,False,Yes,Yes,9/8,5,15,7,Left-handed,On your back,True,0,1
First Year,I don't know,Data Science,True,3,True,Yes,Yes,7/24,7,5,7,Right-handed,On your right side,False,2,3
First Year,I don't know,Civil Engineering,False,3,True,Yes,Yes,12/20,4,5,7,Right-handed,On your left side,True,0,2
First Year,Yes,Civil Engineering,True,4,False,Yes,Yes,12/27,7,4,7,Right-handed,On your right side,True,2,2
Second Year,No,Data Science,True,3,True,Yes,Yes,2/7,5,7,8,Right-handed,On your back,False,0,2
First Year,I don't know,Industrial Engineering and Operations Research,False,2,True,Yes,Yes,6/8,6,12,7,Right-handed,On your back,True,3,1
First Year,Yes,Data Science,False,3,True,Yes,Yes,8/6,4,3,8,Right-handed,On your left side,True,0,2
Third Year,Yes,Computer Science,True,5,True,Yes,Yes,10/29,6,4,7.5,Right-handed,On your stomach,False,0,3
Second Year,Yes,"Cognitive Science, Political Science",False,1,True,Yes,No,12/7,4,5,7,Right-handed,On your stomach,False,4,8
Second Year,No,Applied Math,True,4,True,Yes,Yes,10/8,8,20,6,Right-handed,On your stomach,True,0,4
Third Year Transfer Student,No,Data Science,True,3,False,Yes,Yes,11/28,3,5,9,Right-handed,On your left side,True,3,3
First Year,No,Data Science,True,1,True,Yes,Yes,5/11,6,6,8,Right-handed,On your left side,True,1,3
Third Year,No,Data Science,True,2,False,Yes,Yes,5/11,3,3,6,Right-handed,On your right side,True,0,3
Second Year,Yes,Mechanical Engineering,True,3,False,Yes,No,10/15,7,8,7,Right-handed,On your stomach,True,0,1
First Year,I don't know,Computer Science,True,5,True,Yes,Yes,1/17,5,10,7,Right-handed,On your back,False,0,4
Second Year,No,"Molecular and Cell Biology, Public Health",True,3,True,Yes,Yes,5/9,3,5,8,Right-handed,On your right side,True,3,3
First Year,Yes,"Computer Science, Data Science",False,2,False,Yes,Yes,3/1,6,3,6,Left-handed,On your right side,True,3,3
First Year,Yes,Data Science,True,3,False,Yes,Yes,3/12,5,9,7,Right-handed,On your left side,True,5,5
Third Year,No,EECS,True,5,True,Yes,Yes,9/1,6,4,7,Left-handed,On your left side,False,0,1
Third Year,I don't know,"Data Science, Statistics",True,2,True,Yes,Yes,7/21,8,4,7,Right-handed,On your right side,False,0,2
First Year,No,Data Science,True,4,True,Yes,Yes,12/28,3,10,7,Left-handed,On your right side,False,0,2
Fourth Year,No,Applied Math,True,3,True,Yes,No,5/30,5,4,8,Right-handed,On your back,False,0,4
Third Year,I don't know,civil engineering ,True,2,True,Yes,Yes,11/10,3,2,8,Right-handed,On your back,False,3,2
Third Year,I don't know,Statistics,True,4,True,Yes,Yes,12/27,7,5,7,Right-handed,On your left side,True,3,3
Third Year,Yes,Astrophysics,False,3,False,Yes,Yes,1/26,4,3,7,Left-handed,On your left side,False,0,5
Third Year,No,"Data Science, Physics",True,5,False,Yes,Yes,5/25,3,4,9,Right-handed,On your right side,True,0,2
First Year,No,Physics,True,5,True,Yes,Yes,5/14,2,4,8,Right-handed,On your left side,False,0,3
Second Year,No,"Data Science, Economics",True,3,True,Yes,Yes,3/9,8,20,8,Right-handed,On your right side,True,6,1
First Year,No,Computer Science,False,2,False,Yes,Yes,5/15,2,3,7,Right-handed,On your left side,True,2,5
Second Year,No,EECS,True,5,True,Yes,No,4/26,8,15,6,Right-handed,On your stomach,True,2,7
Third Year,Yes,"Economics, Statistics",False,2,True,Yes,Yes,9/30,4,4,8,Right-handed,On your right side,True,2,3
Third Year,Yes,Public Health,False,1,False,Yes,Yes,7/20,8,8,8,Right-handed,On your right side,True,3,2
Third Year,Yes,Civil Engineering,True,2,False,Yes,Yes,12/12,3,5,7,Right-handed,On your stomach,False,0,2
Third Year,I don't know,Undecided,True,3,False,Yes,Yes,8/20,3,3,7,Right-handed,On your left side,False,0,2
First Year,Yes,Business,False,1,True,Yes,Yes,8/28,9,20,7,Right-handed,On your left side,True,0,3
First Year,Yes,"Cognitive Science, Data Science, Interdisciplinary Studies",False,1,False,Yes,Yes,6/15,6,10,7,Right-handed,On your left side,True,0,6
First Year,No,"Data Science, Physics",True,3,False,Yes,Yes,9/16,5,3,7,Right-handed,On your left side,True,2,1
First Year,I don't know,Civil Engineering,True,2,False,Yes,Yes,8/9,3,2,8,Right-handed,On your right side,False,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,5/4,8,12,9,Right-handed,On your left side,False,0,3
Second Year,No,Society and Environment ,False,1,False,Yes,Yes,12/9,9,10,6,Right-handed,On your back,True,4,2
First Year,No,Civil Engineering,False,5,False,Yes,Yes,5/10,10,10,6,Right-handed,On your back,True,0,1
Fourth Year,No,Public Health,False,2,False,Yes,Yes,7/21,5,10,8,Right-handed,On your back,True,4,2
First Year,No,Statistics,True,4,True,Yes,Yes,5/15,6,4,7.5,Right-handed,On your back,True,0,4
Third Year,Yes,Data Science,True,3,False,Yes,Yes,11/30,3,1,7,Right-handed,On your back,False,2,3
Second Year,No,"Data Science, rhetoric",False,2,True,Yes,Yes,5/14,9,20,7,Right-handed,On your right side,True,0,3
Second Year,Yes,Political Science,True,3,True,Yes,Yes,12/24,7,6,7,Right-handed,On your right side,True,0,2
Third Year,No,"Applied Math, Computer Science",False,2,False,Yes,Yes,12/30,3,3,6,Right-handed,On your right side,True,2,2
Second Year,I don't know,"Business, Economics",True,3,True,Maybe,Yes,2/27,3,6,7,Right-handed,On your right side,False,2,3
Second Year,Yes,Cognitive Science,True,3,False,Yes,Yes,5/31,4,4,7,Right-handed,On your right side,True,2,2
Third Year,Yes,Cognitive Science,False,1,True,Yes,Yes,1/30,6,3,9,Right-handed,On your left side,False,9,3
First Year,No,Data Science,True,2,False,Yes,Yes,8/2,4,5,7,Right-handed,On your right side,False,0,2
Second Year,No,"Business, Economics",False,2,False,Yes,Yes,3/24,8,20,8,Right-handed,On your right side,False,0,3
Third Year,Yes,Media Studies,False,1,True,Yes,Yes,1/20,4,4,7,Right-handed,On your left side,True,3,2
First Year,Yes,Civil Engineering,True,2,False,Yes,Yes,9/20,7,7,7,Right-handed,On your back,True,0,4
First Year,No,Data Science,True,2,True,Yes,Yes,3/23,5,5,8,Right-handed,On your stomach,False,0,3
First Year,No,Data Science,False,2,True,Yes,Yes,8/12,4,5,6.5,Right-handed,On your right side,False,0,3
First Year,No,Data Science,True,4,True,Yes,Yes,6/6,7,8,7,Right-handed,On your left side,True,0,3
Third Year,Yes,"Mathematics, Statistics",False,4,True,Yes,Yes,7/2,5,2,8,Right-handed,On your back,False,0,3
Third Year,No,"Molecular and Cell Biology, Public Health",True,3,True,Yes,Yes,2/16,4,15,7,Right-handed,On your left side,False,6,1
Third Year,No,"Data Science, Physics",True,4,True,Yes,Yes,6/24,5,2,8,Left-handed,On your stomach,True,1,3
Third Year,I don't know,Civil Engineering,True,4,False,Yes,Yes,6/26,7,2,8,Right-handed,On your back,True,2,1
First Year,No,"Applied Math, Data Science",True,3,True,Yes,Yes,7/23,8,10,6.5,Right-handed,On your left side,False,0,3
First Year,No,Data Science,True,3,True,Yes,Yes,6/9,8,10,7.5,Right-handed,On your right side,True,0,3
Second Year,No,Neuroscience,False,1,True,Yes,No,8/29,6,6,7,Right-handed,On your back,True,2,2
First Year,Yes,Civil Engineering,False,2,False,Maybe,Yes,8/24,3,10,7,Right-handed,On your right side,True,5,2
First Year,No,Civil Engineering ,False,1,False,Yes,I don't know,6/12,7,7,6,Right-handed,On your right side,True,0,1
Fourth Year,No,Political Science,True,2,False,No,No,10/8,9,10,7,Right-handed,On your stomach,True,1,2
Second Year,Yes,"Political Science, Film and Media",False,1,True,Yes,Yes,5/26,7,3,5,Right-handed,On your stomach,True,5,3
Fourth Year,No,History,False,1,False,No,No,5/15,6,15,8,Right-handed,On your left side,False,0,2
First Year,I don't know,Civil Engineering,True,2,True,Yes,Yes,4/2,4,8,8,Right-handed,On your right side,False,0,4
Second Year,I don't know,Applied Math,True,2,False,Yes,No,10/19,3,3,7,Right-handed,On your left side,True,1,3
Second Year,No,Global Studies ,False,2,False,Yes,Yes,7/6,6,7,8,Right-handed,On your left side,True,1,2
Third Year,No,Political Science,False,2,False,Yes,Yes,5/12,3,2,6,Right-handed,On your left side,True,0,2
Third Year,No,EECS,True,5,True,Yes,Yes,11/29,9,10,8,Right-handed,On your left side,True,2,4
First Year,No,Civil Engineering,True,3,False,Yes,Yes,9/4,8,12,6.5,Right-handed,On your right side,True,1,1
Second Year,Yes,"Data Science, Media Studies",False,1,True,Yes,Yes,11/9,5,20,7,Left-handed,On your stomach,True,0,2
First Year,No,"Data Science, Economics, Statistics",False,2,True,Yes,Yes,10/15,6,10,7.5,Right-handed,On your back,True,0,8
Second Year,No,Environmental Economics and Policy,False,2,True,Yes,Yes,4/19,7,4,6,Right-handed,On your back,False,2,4
First Year,No,Civil Engineering,False,1,False,Yes,Yes,8/17,8,5,7,Right-handed,On your stomach,True,6,2
First Year,No,"Data Science, Economics",True,2,False,Yes,Yes,6/15,7,7,7,Right-handed,On your right side,False,2,3
First Year,Yes,Civil Engineering,True,2,False,Yes,Yes,8/11,5,5,8,Left-handed,On your right side,True,5,2
Third Year,Yes,EEP,False,1,True,Yes,Yes,3/16,4,2,6,Right-handed,On your right side,True,1,3
First Year,No,Economics,False,2,True,Yes,No,3/12,6,5,8,Right-handed,On your right side,True,4,1
Second Year,I don't know,Business,False,1,True,Yes,Yes,12/9,10,10,7,Right-handed,On your stomach,False,8,2
First Year,No,EECS,True,5,True,Yes,Yes,1/25,7,7,7,Right-handed,On your back,True,0,2
Second Year,Yes,Political Science,False,2,False,Yes,Yes,7/20,3,4,6,Right-handed,On your right side,True,2,3
First Year,Yes,Data Science,False,3,True,Yes,Yes,11/24,7,5,7,Right-handed,On your left side,False,0,3
First Year,I don't know,Applied Math,True,3,True,Yes,Yes,3/22,5,3,8,Right-handed,On your back,False,0,4
Fourth Year,I don't know,Media Studies,False,3,True,Maybe,Yes,3/8,6,6,8,Right-handed,On your right side,True,0,2
Fourth Year,No,Media Studies,False,1,False,Yes,Yes,6/5,4,2,6,Right-handed,On your right side,True,0,3
Fourth Year,No,Cognitive Science,True,2,True,Yes,No,3/21,6,3,8,Right-handed,On your stomach,True,8,2
Third Year,Yes,Cognitive Science,True,4,True,Yes,Yes,1/28,6,3,7,Right-handed,On your back,True,0,5
Third Year,No,Public Health,True,1,True,Yes,Yes,10/3,3,3,7,Right-handed,On your back,True,0,2
Second Year,No,"Mathematics, Physics",True,5,True,Yes,Yes,3/25,3,4,6,Right-handed,On your left side,True,2,2
First Year,No,Neuroscience,True,3,True,Yes,No,9/15,4,8,8,Right-handed,On your stomach,False,0,7
First Year,No,"Data Science, Economics, Molecular and Cell Biology",True,4,False,Yes,Yes,4/29,8,8,7,Right-handed,On your left side,True,2,3
First Year,No,Civil Engineering,True,2,False,Yes,Yes,12/1,4,3,7,Right-handed,On your left side,True,2,2
First Year,No,"Computer Science, Data Science",True,4,True,Yes,Yes,5/22,4,3,6,Right-handed,On your stomach,False,0,2
Second Year,No,Cognitive Science,False,1,False,Yes,Yes,11/28,3,5,6,Right-handed,On your left side,True,0,3
First Year,Yes,"Data Science, Political Science",True,3,False,Yes,Yes,6/10,8,4,6,Right-handed,On your stomach,True,2,3
First Year,I don't know,Civil Engineering,False,3,False,Yes,Yes,10/22,3,2,7,Right-handed,On your back,False,0,3
Third Year,No,Applied Math,True,3,True,Yes,No,3/7,4,8,6,Right-handed,On your right side,True,2,3
Second Year,Yes,Cognitive Science,False,2,True,Yes,No,11/14,8,6,4,Right-handed,On your back,False,12,5
Fourth Year,No,Statistics,True,3,True,Yes,Yes,1/18,2,2,6,Right-handed,On your stomach,True,0,3
Second Year,Yes,"Data Science, Sociology",False,1,False,Yes,Yes,3/14,4,7,9,Right-handed,On your stomach,True,2,2
First Year,No,"Data Science, Economics",False,2,True,Yes,Yes,2/4,7,8,8,Right-handed,On your left side,True,2,2
First Year,No,Data Science,True,4,True,Yes,Yes,10/20,9,8,7,Right-handed,On your right side,True,4,4
Second Year,Yes,"Urban Studies, Ethnic Studies",False,1,False,Yes,Yes,3/21,5,4,8,Right-handed,On your left side,True,2,2
Fourth Year,No,Nutritional Science,False,2,True,Yes,No,6/24,2,9,9,Right-handed,On your left side,False,0,2
Third Year,No,Statistics,True,3,True,Yes,Yes,6/8,3,7,7,Right-handed,On your back,False,0,1
First Year,No,Political Economy,False,1,True,Yes,Yes,11/5,7,10,8,Right-handed,On your right side,True,5,3
First Year,Yes,Statistics,False,1,True,Yes,Yes,7/30,4,5,6,Right-handed,On your right side,True,0,2
Second Year,No,Nutritional Sciences,True,3,True,Yes,I don't know,7/5,8,5,8,Right-handed,On your right side,True,2,2
First Year,No,Cognitive Science,False,2,False,Yes,Yes,8/17,6,6,8,Right-handed,On your left side,True,5,2
First Year,I don't know,Civil Engineering,True,2,False,Yes,Yes,8/8,5,4,7,Right-handed,On your left side,True,0,4
First Year,No,Civil Engineering,True,2,False,Yes,Yes,6/16,3,5,7,Right-handed,On your left side,False,0,6
Second Year,No,"Molecular and Cell Biology, Neuroscience",False,2,False,Yes,Yes,3/7,3,3,6,Left-handed,On your left side,False,0,1
Third Year,Yes,Public Health,False,1,False,Yes,Yes,5/10,4,3,7,Right-handed,On your back,True,4,2
Second Year,Yes,"Political Economy, Statistics",True,3,False,Yes,Yes,1/11,4,10,8,Right-handed,On your back,True,0,7
Third Year,I don't know,Civil Engineering,True,3,False,Yes,Yes,6/17,3,2,8,Right-handed,On your right side,True,0,2
Second Year,No,Undecided,True,3,True,Yes,Yes,2/5,2,2,9,Right-handed,On your right side,True,4,3
First Year,No,Civil Engineering,True,3,False,Yes,Yes,3/10,4,3,7,Left-handed,On your left side,False,0,3
Second Year,No,Physics,True,2,True,Yes,No,8/26,10,2,7,Right-handed,On your left side,True,0,3
First Year,I don't know,Data Science,False,1,False,Yes,Yes,6/19,7,8,7,Right-handed,On your right side,True,7,5
Second Year,No,Computer Science,True,4,True,Yes,No,5/11,4,5,8,Right-handed,On your back,True,0,3
First Year,I don't know,"Cognitive Science, Data Science",True,3,True,Yes,Yes,2/6,8,6,7,Right-handed,On your back,True,2,3
Second Year,No,Public Health,False,1,False,Yes,Yes,1/8,4,6,7,Right-handed,On your right side,False,2,3
First Year,No,Cognitive Science,True,2,False,Yes,Yes,1/29,3,4,7,Right-handed,On your left side,True,2,2
Third Year,Yes,Sociology,False,1,True,Maybe,I don't know,4/12,7,5,7,Right-handed,On your right side,True,4,2
First Year,Yes,Civil Engineering,False,3,False,Yes,Yes,9/30,6,4,7,Right-handed,On your right side,True,2,1
Fifth Year or above,Yes,Sociology,False,3,False,Yes,Yes,11/13,5,3,8,Right-handed,On your right side,False,3,2
Second Year,No,Sustainable Environmental Design,True,3,True,Yes,Yes,4/21,4,4,8,Right-handed,On your left side,True,5,4
First Year,No,EECS,True,3,False,Yes,No,8/14,4,6,7,Right-handed,On your right side,False,0,5
First Year,No,Data Science,True,3,False,Maybe,Yes,3/3,6,5,9.5,Right-handed,On your back,True,0,3
First Year,I don't know,Data Science,True,4,False,Yes,Yes,6/5,4,3,7,Right-handed,On your right side,False,2,3
First Year,No,Cognitive Science,True,3,False,Yes,Yes,9/30,9,7,7,Right-handed,On your right side,False,2,3
Third Year,No,Economics,False,3,True,Yes,Yes,11/24,6,8,10,Left-handed,On your left side,True,9,1
Third Year,Yes,Statistics,True,1,True,Yes,Yes,6/19,5,4,7,Right-handed,On your back,False,0,3
First Year,Yes,"Data Science, Economics",False,1,False,Maybe,Yes,5/20,7,10,7,Right-handed,On your right side,True,7,3
Third Year,No,Psychology,False,3,True,Yes,No,4/5,6,10,7,Right-handed,On your left side,True,0,2
Second Year,No,"Data Science, Physics",True,4,True,Yes,Yes,12/6,7,10,7,Right-handed,On your stomach,True,0,2
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,1,True,Yes,Yes,2/2,4,5,7,Right-handed,On your left side,False,2,3
First Year,I don't know,Civil Engineering,False,1,False,Yes,Yes,1/11,6,4,7,"Left, now becoming right",On your back,False,0,1
First Year,Yes,"Business, Data Science",True,3,True,Yes,Yes,10/26,8,12,6,Right-handed,On your right side,False,0,3
Third Year,No,Computer Science,True,5,True,Yes,Yes,2/16,3,5,7,Right-handed,On your left side,False,0,3
First Year,Yes,Statistics,False,1,True,Yes,Yes,5/2,7,8,8,Left-handed,On your stomach,True,2,3
First Year,I don't know,"Applied Math, Statistics",True,2,True,Yes,Yes,12/22,5,5,6,Right-handed,On your back,False,0,3
Third Year,No,Political Science,False,2,False,Yes,Yes,6/22,9,6,8,Right-handed,On your stomach,True,0,3
First Year,I don't know,Data Science,False,3,False,Yes,Yes,7/25,4,5,6,Right-handed,On your right side,False,2,2
Third Year,Yes,Business,False,1,True,Yes,Yes,2/11,6,3,7,Left-handed,On your right side,False,0,3
Second Year,No,Psychology,False,1,True,Yes,Yes,4/15,8,8,7,Left-handed,On your right side,False,2,1
First Year,No,Business,True,3,True,Yes,Yes,6/13,8,20,6,Right-handed,On your left side,False,0,3
Second Year,No,sociology,False,1,False,Yes,Yes,3/23,7,3,7,Left-handed,On your back,False,0,3
First Year,No,Data Science,True,3,True,Yes,Yes,2/23,7,16,6,Right-handed,On your right side,True,4,4
Third Year,Yes,Public Health,False,1,False,Yes,Yes,12/27,7,20,8,Right-handed,On your right side,True,16,3
First Year,Yes,"Data Science, Undecided, Music",True,2,False,Yes,Yes,9/29,8,12,8,Right-handed,On your stomach,False,0,3
First Year,No,Data Science,True,3,True,Yes,Yes,12/9,7,3,6,Right-handed,On your left side,False,4,3
First Year,No,"Data Science, Economics",True,3,True,Yes,Yes,3/12,6,15,8,Right-handed,On your stomach,True,5,2
First Year,No,Data Science,True,4,True,Yes,Yes,9/7,4,8,7,Left-handed,On your left side,False,0,1
First Year,I don't know,Civil Engineering,True,3,False,Yes,Yes,9/4,4,7,6,Right-handed,On your right side,False,2,2
First Year,No,Civil Engineering,False,2,False,Yes,Yes,8/25,7,7,8,Left-handed,On your left side,True,0,2
First Year,No,Data Science,True,4,True,Yes,Yes,10/23,7,10,7,Right-handed,On your back,False,0,2
Third Year,Yes,Psychology,False,2,False,Yes,Yes,6/11,6,15,6,Right-handed,On your left side,True,2,5
Second Year,No,Business,False,1,True,Yes,Yes,1/5,7,10,8,Right-handed,On your right side,True,2,2
Third Year,I don't know,Applied Math,False,1,False,Yes,Yes,10/8,4,4,7,Right-handed,On your right side,False,0,2
First Year,Yes,"Data Science, Undecided, Currently in Data Science, switching to Sociology",False,1,False,Yes,Yes,4/25,6,4,7,Right-handed,On your right side,False,4,3
Second Year,I don't know,Physics,False,2,False,Yes,No,11/30,3,20,5,Right-handed,On your left side,True,3,3
First Year,No,Computer Science,True,4,True,Yes,I don't know,5/9,9,10,8,Right-handed,On your back,False,0,3
Second Year,No,"Cognitive Science, Data Science",True,3,True,Yes,Yes,12/6,4,5,8,Right-handed,On your left side,False,4,4
First Year,Yes,Data Science,True,2,True,Yes,Yes,5/20,6,12,7,Right-handed,On your back,True,2,2
First Year,No,"Cognitive Science, Neuroscience",True,2,False,Yes,Yes,9/10,4,7,7,Right-handed,On your stomach,True,2,3
First Year,No,Statistics,True,2,True,Yes,Yes,9/6,7,8,7,Right-handed,On your back,False,2,2
Third Year,Yes,Cognitive Science,False,2,True,Yes,Yes,12/8,6,5,7,Right-handed,On your stomach,True,5,3
Second Year,No,Public Health,False,1,True,Yes,Yes,9/18,8,6,7,Right-handed,On your right side,False,0,4
First Year,No,"Business, Data Science",False,1,True,Yes,Yes,12/20,8,20,7,Right-handed,On your right side,True,0,2
Second Year,No,"Media Studies, Political Science",False,1,True,Yes,Yes,8/24,9,10,6,Right-handed,On your right side,True,2,2
First Year,No,Economics,True,3,False,Yes,Yes,2/13,7,3,7,Right-handed,On your stomach,True,0,3
Third Year,Yes,EECS,True,5,False,Yes,Yes,4/2,8,2,9,Right-handed,On your left side,True,0,4
Third Year,No,Civil Engineering ,True,2,False,Yes,Yes,8/5,4,4,7,Right-handed,On your left side,False,0,3
Third Year,No,Civil Engineering,True,2,False,Yes,Yes,4/29,3,3,6,Left-handed,On your back,False,0,3
Third Year,Yes,EECS,True,4,True,Yes,Yes,11/27,6,3,7,Right-handed,On your left side,False,5,6
First Year,No,Data Science,True,4,True,Yes,Yes,11/8,8,10,7,Right-handed,On your back,True,0,4
First Year,Yes,EECS,False,2,True,Yes,I don't know,1/6,5,4,7,Right-handed,On your left side,True,0,3
First Year,No,Applied Math,False,3,True,Yes,Yes,3/1,8,6,7,Right-handed,On your right side,False,0,3
Third Year,I don't know,Data Science,True,2,True,Yes,Yes,5/30,4,8,6,Right-handed,On your stomach,True,0,2
Second Year,Yes,Legal Studies and Astrophysics,False,2,False,Yes,Yes,12/9,7,5,5,Right-handed,On your stomach,True,11,2
Second Year,I don't know,"Economics, Statistics",False,1,False,Yes,Yes,5/19,3,2,7,Right-handed,On your back,False,0,2
Third Year,No,"Applied Math, Data Science",False,3,False,Yes,Yes,10/14,6,6,5.5,Right-handed,On your back,False,0,2
First Year,Yes,Data Science,False,1,False,Yes,Yes,11/9,5,7,4,Right-handed,On your left side,True,0,4
First Year,I don't know,Data Science,True,3,False,Yes,Yes,3/1,4,3,6,Right-handed,On your right side,False,4,2
Graduate Student,No,Mechanical Engineering,False,4,False,Yes,I don't know,2/18,8,10,8,Right-handed,On your left side,False,0,2
First Year,No,"Cognitive Science, Psychology",False,1,False,Yes,Yes,7/31,2,3,5,Right-handed,On your left side,True,2,2
First Year,No,Statistics,True,2,True,Yes,Yes,12/13,7,1,6,Right-handed,On your right side,True,0,5
Third Year,No,NST,False,1,False,Yes,Yes,12/10,7,8,7,Right-handed,On your left side,True,4,3
First Year,No,"Business, IEOR",False,3,False,Yes,Yes,4/5,6,20,6,Right-handed,On your right side,True,0,2
Third Year,No,Data Science,False,2,False,Yes,Yes,3/31,4,3,6,Right-handed,On your back,False,3,3
First Year,I don't know,Molecular and Cell Biology,False,3,False,Yes,Yes,2/23,3,9,7.5,Right-handed,On your back,False,0,5
Third Year,Yes,Engineering,True,3,False,Yes,Yes,6/29,5,5,8,Right-handed,On your back,True,0,2
Second Year,No,Data Science,True,2,True,Yes,No,11/23,2,4,5,Left-handed,On your left side,True,3,3
Second Year,No,Neuroscience,False,1,True,Yes,Yes,9/15,6,7,6,Right-handed,On your left side,True,5,3
Second Year,No,Economics,False,1,False,Yes,Yes,9/28,4,4,7,Right-handed,On your back,False,7,5
First Year,No,Business,False,2,False,Yes,Yes,8/28,7,10,7,Right-handed,On your left side,True,4,3
Third Year,No,Computational Chemistry,True,4,True,Yes,Yes,1/19,4,12,6,Right-handed,On your right side,True,2,7
First Year,No,Data Science,True,4,True,Yes,Yes,1/23,6,5,8,Right-handed,On your right side,True,0,2
Fourth Year,No,"Economics, Psychology",False,3,True,Maybe,No,5/5,9,7,6.5,Right-handed,On your stomach,True,4,3
First Year,No,Computer Science,True,3,False,Yes,Yes,9/1,6,4,7,Right-handed,On your back,True,2,3
First Year,No,Business,False,1,True,Yes,Yes,11/3,9,20,6,Right-handed,On your back,True,2,2
Third Year,Yes,Data Science,True,2,False,Yes,Yes,3/8,7,3,7,Right-handed,On your left side,False,2,2
Second Year,No,"Applied Math, Computer Science, Data Science",True,4,True,Yes,Yes,9/22,5,3,8,Right-handed,On your back,True,0,2
First Year,I don't know,Data Science,True,4,True,Yes,Yes,2/27,4,4,8,Right-handed,On your right side,False,2,3
First Year,Yes,Data Science,True,4,True,Yes,Yes,3/13,7,10,6,Right-handed,On your right side,False,4,2
First Year,No,Data Science,True,5,True,Yes,Yes,11/23,3,5,7,Right-handed,On your back,True,0,3
Graduate Student,Yes,Molecular and Cell Biology,True,2,False,Yes,No,4/14,6,2,8,Right-handed,On your stomach,False,0,4
Third Year,No,"Applied Math, Data Science",True,3,True,Yes,Yes,9/26,6,5,7,Right-handed,On your back,False,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,5/24,6,8,7,Right-handed,On your back,False,2,2
First Year,I don't know,Business,True,3,False,Yes,Yes,2/22,5,5,8,Right-handed,On your stomach,False,0,2
Second Year,Yes,Legal Studies ,False,2,False,Yes,Yes,9/7,5,5,8,Left-handed,On your right side,True,0,2
Second Year,Yes,"Public Health, Legal Studies",False,2,True,Yes,Yes,6/22,4,4,7.5,Right-handed,On your stomach,True,6,5
First Year,No,Data Science,True,3,True,Yes,Yes,5/1,2,3,6,Right-handed,On your stomach,False,1,4
First Year,No,"Data Science, Economics",True,3,True,Yes,Yes,8/3,8,3,4,Right-handed,On your left side,True,0,3
First Year,No,Data Science,True,2,True,Yes,Yes,4/28,7,5,6,Right-handed,On your left side,False,4,1
Third Year,Yes,Environmental Economics & Policy,False,1,False,Yes,Yes,1/4,4,6,7,Right-handed,On your left side,True,0,3
First Year,No,Civil Engineering,True,4,False,Yes,Yes,9/22,7,10,7.5,Right-handed,On your left side,True,0,2
First Year,No,"Computer Science, Data Science",True,4,True,Yes,Yes,9/12,7,10,8,Right-handed,On your right side,True,2,4
Second Year,Yes,Public Health,False,1,False,Yes,Yes,4/13,5,3,7,Right-handed,On your right side,True,2,2
First Year,No,Statistics,False,1,True,Yes,Yes,12/30,3,5,7,Left-handed,On your right side,False,0,2
Third Year,Yes,Cognitive Science,True,2,True,Yes,Yes,4/15,6,3,6,Right-handed,On your back,True,2,1
Third Year,Yes,"Psychology, Public Health",True,3,True,Yes,Yes,9/11,4,6,6,Right-handed,On your right side,False,2,2
Third Year,I don't know,Civil Engineering,False,2,True,Yes,Yes,7/13,4,3,7.5,Right-handed,On your right side,False,0,2
Third Year,Yes,"Applied Math, Statistics",True,3,True,Yes,Yes,2/21,2,1,8,Left-handed,On your right side,True,0,3
First Year,No,"Cognitive Science, Data Science",True,2,True,Yes,Yes,4/29,7,15,6,Right-handed,On your back,True,4,3
First Year,No,Pre LSBE (bio and business),True,3,False,Yes,Yes,10/20,9,10,7,Right-handed,On your right side,True,0,2
First Year,No,Applied Math,True,4,True,Yes,Yes,4/3,4,12,8,Right-handed,On your right side,True,0,2
Second Year,Yes,Political Science,False,3,True,Yes,Yes,4/23,4,4,6,Right-handed,On your left side,True,3,2
Second Year,No,"Business, Data Science",False,1,False,Yes,Yes,5/31,8,10,8,Left-handed,On your right side,True,8,1
First Year,No,Industrial Engineering and Operations Research,True,3,True,Yes,Yes,6/4,5,10,7,Right-handed,On your back,False,2,3
Second Year,Yes,"Business, Interdisciplinary Studies",False,1,True,Yes,Yes,1/21,4,5,7,Right-handed,On your right side,True,2,1
Third Year,No,Public Health,False,1,True,Yes,Yes,7/21,7,8,5.5,Right-handed,On your right side,True,9,4
Second Year,No,Cognitive Science,True,3,True,Yes,Yes,9/26,9,10,8,Right-handed,On your stomach,True,3,6
Second Year,No,"Business, Molecular and Cell Biology",False,1,True,Yes,Yes,1/11,7,5,6,Right-handed,On your back,False,1,1
First Year,Yes,Civil Engineering,False,1,False,No,Yes,1/22,7,5,8,Right-handed,On your left side,True,6,2
Third Year,Yes,Molecular and Cell Biology,False,1,True,Yes,Yes,11/25,6,3,7,Left-handed,On your right side,True,5,3
